City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,-1.15,86,100,2.57,CA,1745434059
83,kailua-kona,19.6406,-155.9956,27.0,68,0,0.45,US,1745434060
84,sandnessjoen,66.0217,12.6316,3.06,52,40,2.57,NO,1745434061
85,bochum,51.4833,7.2167,12.36,95,100,1.46,DE,1745433915
86,shingu,33.7333,135.9833,18.92,96,100,1.29,JP,1745434013
87,genhe,50.7833,121.5167,-1.83,82,100,5.86,CN,1745434064
88,bay roberts,47.5999,-53.2648,6.14,78,100,2.24,CA,1745434066
89,arvayheer,46.2639,102.775,1.0,31,0,1.54,MN,1745434067
90,indramayu,-6.3264,108.32,29.4,82,9,2.37,ID,1745434068
91,alaghsas,17.0187,8.0168,36.94,6,0,4.63,NE,1745434069
92,haiku-pauwela,20.9219,-156.3051,25.7,75,1,5.36,US,1745434070
93,blackmans bay,-43.0167,147.3167,8.07,93,0,3.32,AU,1745434071
94,west sayville,40.7279,-73.0976,20.73,47,13,3.58,US,1745434072
95,badger,64.8,-147.5333,5.14,66,100,5.14,US,1745434073
96,paramonga,-10.6667,-77.8333,22.25,77,43,4.7,PE,1745434077
97,severo-yeniseyskiy,60.3725,93.0408,-6.35,93,80,4.19,RU,1745434078
98,portland,45.5234,-122.6762,18.98,49,0,2.68,US,1745433823
99,sitka,57.0531,-135.33,8.94,71,100,5.66,US,1745434080
100,korla,41.7597,86.1469,16.57,23,100,2.49,CN,1745434082
101,chibougamau,49.9168,-74.3659,2.79,87,100,3.6,CA,1745434083
102,gurun,5.8172,100.4738,22.84,92,98,2.19,MY,1745434084
103,mata-utu,-13.2816,-176.1745,28.78,72,100,6.57,WF,1745434085
104,okha,53.5739,142.9478,-2.95,88,5,3.4,RU,1745434086
105,avarua,-21.2078,-159.775,27.03,94,40,3.6,CK,1745434088
106,sinop,41.7711,34.8709,10.89,90,100,1.86,TR,1745434025
107,enewetak,11.3474,162.3373,27.24,76,71,7.48,MH,1745434090
108,weno,7.4515,151.8468,28.15,75,100,5.73,FM,1745434091
109,vallo della lucania,40.2297,15.2658,15.41,85,100,0.59,IT,1745433956
110,whitehorse,60.7161,-135.0538,5.61,63,100,4.63,CA,1745434095
111,ippy,6.2679,21.2247,23.54,78,15,1.77,CF,1745434096
112,rovaniemi,66.5,25.7167,-0.33,69,20,3.09,FI,1745434034
113,galliano,29.4422,-90.2992,27.0,65,40,5.14,US,1745434098
